0,164.59554782649235
1,138.53042331685822
2,99.2674320506892
3,924.3035119370863
4,923.4556716128445
5,1253.221590984847
6,1131.5789750016581
7,1157.0717265098046
8,1140.1006188613935
9,1152.236174458653
10,1028.7196940715264
11,1149.1730217793286
12,1079.9601772495569
13,1030.9567263701053
14,1121.4065981293923
15,1076.6649189419363
16,1095.6832649659
17,1391.7161938048332
18,1614.3976576708299
19,651.7917058009468
20,-39.468412230947884
21,1807.2314059025794
22,1946.0405815140293
23,1936.9857229019053
24,1930.8543983126476
25,1967.0816148357062
26,1954.3209146242314
27,1932.7713876114485
28,1964.127677213567
29,1951.1684401046664
30,1941.3945556296596
31,1972.5200716799802
32,1904.3848478136085
33,1932.5701813515068
34,1921.6120119703473
35,1919.9438886309247
36,1934.7132426973023
37,1938.0793331637594
38,1970.899278995483
39,1963.7488836064147
40,1967.2192455183833
41,1978.1791569806014
42,1992.1012008631571
43,1954.884113239546
44,2012.4949625259387
45,1948.5215095872566
46,1984.8143080420803
47,2006.648939891366
48,2012.8294593985113
49,2056.719017558309
50,2071.546716806761
51,2100.4568668473216
52,2077.380728560046
53,2101.578260569641
54,2106.0088837152107
55,2066.5934930718017
56,2112.7804494191237
57,2105.5035496314345
58,2129.059742246428
59,2118.4768006155273
60,2092.2648105526073
61,2124.1709338037267
62,2126.5664670553674
63,2083.029927186589
64,2101.710177258006
65,2104.8270366229235
66,2090.564420496182
67,2093.4568817994264
68,2084.3438645291944
69,2112.366781604308
70,2048.344017855017
71,2044.655575425469
72,2037.0848249076016
73,2049.052591651144
74,2041.8407861799083
75,2042.041246713262
76,2050.624719252873
77,2026.1786501229662
78,2007.612557782987
79,2055.614972067164
80,2029.0667329540613
81,2026.4773534550811
82,2054.768976973403
83,2051.373695967818
84,2059.853905680512
85,2044.2310591052258
86,2039.0218661343556
87,2047.1837358619011
88,2039.2623345501315
89,1998.0815009571206
90,1977.713947865601
91,1981.4811771606962
92,2043.496822450355
93,2051.4610291723798
94,2054.5465911944384
95,2029.802028371988
96,2039.0895057449686
97,2051.047982821233
98,2048.3969370987475
99,2022.5372291345168
